,text,sentiment
10,"Omen IV: The Awakening starts at the 'St. Frances Orphanage' where husband & wife Karen (Faye Grant) & Gene York (Michael Woods) are given a baby girl by Sister Yvonne (Megan Leitch) who they have adopted, they name her Delia. At first things go well but as the years pass & Delia (Asia Vieria) grows up Karen becomes suspicious of her as death & disaster follows her, Karen is convinced that she is evil itself. Karen then finds out that she is pregnant but discovers a sinister plot to use her as a surrogate mother for th next Antichrist & gets a shock when she finds out who Delia's real father was...  Originally to be directed by Dominique Othenin-Girard who either quit or was sacked & was replaced by Jorge Montesi who completed the film although why he bothered is anyone's guess as Omen IV: The Awakening is absolutely terrible & a disgrace when compared to it illustrious predecessors. The script by Brian Taggert is hilariously bad, I'm not sure whether this nonsense actually looked good as the written word on a piece of paper but there are so many things wrong with it that I find even that hard to believe. As a serious film Omen IV: The AWakening falls flat on it's face & it really does work better if you look at it as a comedy spoof, I mean the scene towards the end when the Detective comes face-to-face with a bunch of zombie carol singers who are singing an ominous Gothic song has to be seen to be believed & I thought it was absolutely hilarious & ridiculous in equal measure. Then there's the pointless difference between this & the other Omen films in that this time it's a young girl, the question I ask here is why? Seriously, why? There's no reason at all & isn't used to any effect at all anyway. Then of course there's the stupid twist at the end which claims Delia has been keeping her brother's embryo inside herself & that in a sinister conspiracy involving a group of Satan worshippers it has been implanted in Karen so she can give birth to the Antichrist is moronic & comes across as just plain daft. At first it has a certain entertainment value in how bad it is but the unintentional hilarity gives way to complete boredom sooner rather than later.  It's obviously impossible to know how much of Omen IV: The Awakening was directed by Girard & Montesi but you can sort of tell all was not well behind the camera as it's a shabby, cheap looking poorly made film which was actually made-for-TV & it shows with the bland, flat & unimaginative cinematography & production design. Then there's the total lack of scares, atmosphere, tension & gore which are the main elements that made the previous Omen films so effective.  The budget must have been pretty low & the film looks like it was. The best most stylish thing about Omen IV: The Awakening is the final shot in which the camera rises up in the air as Delia walks away into the distance to reveal a crucifix shaped cross made by two overlapping path's but this is the very last shot before the end credits roll which says just about everything. I have to mention the music which sounds awful, more suited to a comedy & is very inappropriate sounding. The acting is alright at best but as usual the kid annoys.  Omen IV: The Awakening is rubbish, it's a totally ridiculous film that tries to be serious & just ends up coming across as stupid. The change of director's probably didn't help either, that's still not a excuse though. The last Omen film to date following the original The Omen (1976), Damien: Omen II (1978) & The Final Conflict (1981) all of which are far superior to this.",1
11,"This movie is quite possibly one of the most horrible horror flicks I've seen. The length wasn't nearly long enough to include a good storyline. Also, the way the foster parents died was just plain ridiculous. The mother suddenly dies from falling through a shower after tripping over an action figure, and the dad is shot by a police officer? I can see where some originality might have been what they were going for, but it could have been better. Also, the cheesiness of it all made me want to press stop before it was over. After hearing all of Lucy's name and figuring out it was 'Lucifer', I wanted to gag. Yes, it's interesting that Lucifer was a woman, but look at the name. It's a male's name. It should be given to a male character. All in all, the movie was a bore, and could have used a better plot.",1
12,"Never cast models and Playboy bunnies in your films! Bob Fosse's ""Star 80"" about Dorothy Stratten, of whom Bogdanovich was obsessed enough to have married her SISTER after her murder at the hands of her low-life husband, is a zillion times more interesting than Dorothy herself on the silver screen. Patty Hansen is no actress either..I expected to see some sort of lost masterpiece a la Orson Welles but instead got Audrey Hepburn cavorting in jeans and a god-awful ""poodlesque"" hair-do....Very disappointing....""Paper Moon"" and ""The Last Picture Show"" I could watch again and again. This clunker I could barely sit through once. This movie was reputedly not released because of the brouhaha surrounding Ms. Stratten's tawdry death; I think the real reason was because it was so bad!",1
13,"Someone must have been seriously joking when they made this film.  Firstly, it is an absolute impossibility that this movie was made in 1993. The fashions and music dictate that this is seriously 80's. My guess is that this has sat on the shelf for a long while before some crazed distributer picked it up and released it to a disbelieving world.  There is a plot. Kind of. A strange loner meets a random man with a beard who tells him that if he meditates while singing his favourite song he will be able to turn into whomever he chooses. At this point I feel obliged to point out that the loner's favourite song is London Bridge Is Falling Down. Why is this his favourite song? Because he's an idiot. We are only a minute into the film and already the film has reached a monumental level of stupidity. It gets even stupider.  The loner is the nostril picker. I can only assume this as there are two scenes in the film where he is seen picking his nose. That clears up the title. He decides to change into a girl so that he can get close to other girls. And kill them. That's more or less it.  The acting is universally appalling. Every single performance in this movie sucks. In fact, I would go so far as to say that the acting is of the standard of a pornographic movie. It really is that terrible. The nostril picker appears to the audience as the nostril picker. The characters in the movie see him as the girl he has become through singing London Bridge Is Falling Down. Man, I feel like an idiot even typing this. Anyway, it is kind of strange seeing a middle aged weirdo hanging out with school girls. And not in a good way. There is even an extended montage of scenes where the nostril picker is at school with the girls and a song plays over the top. It is very possibly the worst song ever recorded. I'm not even going to describe it. You'll know it when you hear it. And you'll agree with me.  There are some scenes of violence, sure. And there is a Benny Hill style chase sequence involving a transsexual. There is even an immortal bit of dialogue, that may or may not have been taken from Shakespeare or John Milton, where the nostril picker says to a prostitute, 'I've got the cash if you've got the gash'. Lovely, I'm sure you'll agree.  Utter nonsense.",1
14,"""Erendira"" is a film from Mexico that is rarely talked about. The film only exists in a low quality VHS format. It's a shame this film hasn't been given a DVD release. ""Erendira"" is stunning and gorgeous with its magic-realist images. ""Erendira"" is based on a short story from the novel ""100 Years of Solitude"". Erendira is constantly daydreaming and accidentally burns down her grandma's house. Her evil grandma, played by Irene Papas, forces her into prostitution to pay for the damages. The whole town gets a piece of Erendira, so to speak. Although the subject matter sounds harsh, the film doesn't exploit sexuality. It's done in a mature artistic manner. The film also has some amazing costumes. Some of the more surreal aspects of the film that stand out the most, are the origami birds that morph into real birds, and a golden orange with a diamond in the center. Erendira is an amazing film, that even manages to throw in humor. This is definitely a film that deserves a special DVD release. As they'd say in espanol, ""Es muy muy bien !!! Excellente!",0
15,"In the hands of lesser actors than Claudette Colbert and Robert Ryan this film could have become silly and trite. But, with these two experienced thespians leading the way, I found ""Silent Fury"" to be a most exciting and pleasurable little mystery. When their wedding is interrupted by a stranger who claims that Colbert is already married, and that he was best man at that wedding, one can sense that there is some sort of plot against her at work. As Colbert, Ryan, and her attorney set out to disprove the strangers claim of a prior marriage, they are met at every turn by more evidence that seems to reinforce the claim that she is indeed already wed. Although it's not very difficult to figure out just who the main ""baddie"" is, it's still lots of fun as the intensity and pace of the story increases. All in all, a good, solid mystery film with fine performances by the two leading actors and a fine supporting cast which includes the often underrated Paul Kelly.",0
16,"This movie stars Jay Leno as a Detroit cop, Tony Costas and Pat Morita as a Tokyo cop sent to Detroit to retrieve a stolen prototype of a car motor. A Japanese man traveled to Detroit hoping to sell it to a up and coming car company ran by a man named Derrick Jarryd. Unfortunately for him the men who were supposed to negotiate the deal killed him and took the prototype. An angry Derek Jarryd tries to distance himself from Phillip Madras who led the men. But Madras(played by Chris Sarandon) has none of it and threatens Jarryd forcing him to continue their partnership. Meanwhile in the same junk yard where the Japanese man had been killed, a friend of Tony Costas was also killed by the same men. Tony's friend had been watching the junk yard.  Tony sets out to find the killer against his superior's order. Tony is on robbery while obviously homicide should investigate the case. While Tony is investigating the crime he runs into the Japanese cop and mistakingly he arrests him. Eventually they end up working together on the case. They make an odd pair and there are some genuinely amusing parts as well as some ridiculous scenes such as Pat Morita jumping and kicking right through a the windshield of a moving car and kicking Madras in the head. But it ends up being an enjoyable buddy cop movie, at least in my opinion. Jay Leno is no actor, but he is likable in the role and Pat Morita is good as well. Still, they make for one of the more unlikely buddy cop duos in an action film. If you liked buddy cop films, cheesy 80's movies or you want to see Jay Leno as an actor then I recommend this movie.",0
17,"This was disappointing. It started well enough but as it went on and lost every opportunity to soar, it fell flat. Maria Schrader's acting is dreadful, never seeming to mean what she says, or even knowing what she says until she says it. She showed no genuine emotion at all, not for her beloved goy, or her mother's story. When with Lena she seemed to have little more than an academic interest in Lena's story. There never seemed to be a real relationship between Lena and her mother except her mother seemed to be having a good time at the wedding, which isn't much. The supposed parallel between Hannah's ""mixed"" romance and her mother's relationship with her father was as cliché as they come, and failed miserably anyway. The wedding was completely unconvincing and a dumb finish. The climax of the protest was uninspiring, and no matter what Lena had or had not done to influence the outcome, she would surely have shown some complexity of feeling at the time, a haunted look, an inexplicable ambivalence. In fact, none of the characters in the film had any depth or spark. It was very hard to care about any of them, even little Ruth. Everything with Luis was a distraction. (Why did she dis him so when on the phone from the hotel? There was no context or explanation whatever for that.) If every reference to him was removed it wouldn't be noticed.   A simple story made confusing by poor character development (who was whose mother, again??) weak acting, and directing that made everyone look like they were acting. You could almost hear ""quiet on the set!...."" I started thinking this was worthy of a 7, but as the film went on it dropped rapidly to a 4, then earning a 3 after the silliness of the wedding scene. This was about as cold and sterile a movie as I have seen. A terrible waste of a good story.",1
18,"As the Godfather saga was the view of the mafia from the executive suite, this series is a complex tale of the mafia from the working man's point of view. If you've never watched this show, you're in for an extended treat. Yes, there is violence and nudity, but it is never gratuitous and is needed to contrast Tony Soprano, the thinking man's gangster, with the reality of the life he has been born to and, quite frankly, would not ever have left even knowing how so many of his associates have ended up. Tony Soprano can discuss Sun Tzu with his therapist, then beat a man to death with a frying pan in a fit of rage, and while dismembering and disposing of the body with his nephew, take a break, sit down and watch TV while eating peanut butter out of the jar, and give that nephew advice on his upcoming marriage like they had just finished a Sunday afternoon of viewing NFL football. Even Carmella, his wife, when given a chance for a way out, finds that she really prefers life with Tony and the perks that go with it and looking the other way at his indiscretions versus life on her own. If you followed the whole thing, you know how it ends. If you didn't, trust me you've never seen a TV show end like this.",0
19,"""Jake Speed"" is a fine movie with a wonderful message. It has its flaws of course. At times it's a little slow. It introduces its villain too far into the story. It's action is paced at the rate of a snail's heartbeat. It has a Z-grade cast (Although I've always admired the work of Karen Kopins, who has the straight-laced good looks of Sandra Bullock).  But with all this going against it, ""Jake Speed"" really is inspiring, thanks to a charming script by Wayne Crawford(who plays the title role) and Andrew Lane.  Why do I find it so inspiring? Because it says to me ""Hey, why not try to be a good person.""  The story is essentially a ""stranger in a strange land"" premise, that is good-and-heroic Jake Speed is placed in the real world where bad things happen to good people. Jake is more than a Boy Scout. He's more than a knight in shining armor. Jake Speed is the patron saint of optimism in a dirty, mean and evil world.  It's because of this that ""Jake Speed"" really needed to be a hit. It has a great message that should have gotten out to Hollywood and then to the rest of the world.  Imagine a movie industry that really pushed itself to portray good and decent people. I'm not saying that we should be watching the Waltons in every theater at the cineplex, but that it would be nice if more movies such as ""Jake Speed"" would get a chance. (""Due South,"" a TV show about a Canadian Mountie, is a good comparison of what can be done to brighten up American entertainment.)  Sure, ""Jake Speed"" has violence, blood and guns, but the overall message is that if you try hard enough to be a good person, you'll beat the forces of evil every time. 10/14/99",0
20,"***SPOILERS*** On of the first WWII movies coming out of Hollywood that shows how the war effected those GI's, or in this case US Marines, who fought in it.  21 year old Al Schmid, John Garfield, was just starting to live with a well paying job-earning some $40.00 a week-at the local steel mill and girl Ruth Hartley, Elenore Parker, whom he was about to marry when the Japs spoiled everything for him, and millions of likewise young Americans, by attacking the US Pacific Fleet at Pearl Harbor. Doing his duty as an American citizen Al immediately joined the US Marine Corps hoping to get back at the Japs knowing, correctly as it was to turn out, that the Marines would be the first American combat units to get a crack at them.  Al finally got his chance when his unit, the 1st Marine Division, landed on August 7, 1942 at Guadalcanal in the far flung Solomon Islands to engage the Japanese who were were in control of it. It was during the battle of the Ilu River that Al almost single handed stopped a massive Japanese Banzai attack holding off, with his machine gun, wave after wave of suicide attacks by the determined Japs until help, or reinforcements, finally arrived. It was during the bloody fighting Al was hit in the face by a Jap grenade that ended up blinding him.  Now back in the states convalescing at a naval hospital Al is faced with something far more harder to overcome then battling a battalion size attack of Japanese or German soldiers. He's faced with a future where he'll never see again and having to depend on others to look after, or for, him!  We get to see in the film ""Pride of the Marines"" Al battle himself far harder then he did the Japanese troops on Guadalcanal in just coming to terms with his disability. Not wanting anyone, especially his girlfriend Ruth, to feel sorry for him Al in fact is the one who feels sorry for himself more then anyone else in the movie. It's with the help of Navy Nurse Virginia Pfeiffer, Rosemary DeCamp, and Ruth together with his US Marine buddy Lee Diamond, Dane Clark, that in the end gives Al the courage to face his blindness with the same strength that he faced wave after wave of Japanese troops on Gudalcanal. A courage Al thought he lost back in that God-forsaken island hell in the South Pacific.  Based on the true story of US Marine Sergeant Albert Schmid ""Pride of the Marines"" showed what we were to expect from the tens of thousands of wounded US Servicemen coming back from the war. We get to see how it in many ways was far more difficult for those fighting the war to adjust to a peacetime America when they left something, like in the case of Al Schmid, behind on the battlefield. Al's battle with his personal demons was a lot harder then the Japanese that he fought in that they were part of him and thus had to fight himself in order to overcome and eventually defeat them. Despite the help that he got from both Nurse Virginia and his girlfriend Ruth as well as his Navy doctor-who has a striking resemblance to actor Gregory Peck-it still was up to Al to overcome the fears that he faced. Fears which he and only he had to both battle and overcome, like he was told by everyone in the movie, all by himself.",0
21,"At a risk of sounding slightly sacrilegious, on first viewing I'm kind of inclined to put this right up on a par with 'Shaun of the Dead'. Now, given I view Simon Pegg as an unquestionable comedy genius, I realise this is a rather big claim. And to what extent you agree with that last statement may be a good preliminary gauge of whether 'Fido' will appeal to you.  In a way the comedy picks up where 'Shaun' left off, except we're back in the original 1950s Living Dead-era stereotypical middle-American small town. The Zombie Wars are over and zombies themselves are becoming more well-adjusted, useful members of the community. This, so we're informed at the outset, is largely thanks to the scientific advances made by the good people at Zomcom - a nice play on romantic comedy perhaps?   The beauty of the film lies in its dead-pan depiction of a respectable neighbourhood maintaining core values while making a place for zombies and the special hazards they pose. The charm and balance with which it does this is near enough perfect. Themes you might expect from a more mainstream kitsch comedy come through - the veneer of good clean living, keeping up appearances, repressed emotion, muddled parental values, social decorum and the plight of the alienated individual.  It's a story told with happy heart and wide appeal that is brought to life vividly by the film's all-round strong cast. It's one of those works where it really shows through that everyone involved got a kick out of taking part. It's also fun imagining what Billy Connelly learning his script must have been like...  So in conclusion, it is probable you will appreciate the humour of this film unless your father tried to eat you.",0
22,"This movie made me really mad because the main characters or all the characters have a southern accent. I've lived in Iowa for 29 years and I know that people don't have a southern accent here. This movie is about a guy who does meth and I don't know the real plot or what the movie is suppose to be about. It has some pretty graphic drug use in it and it's really insulting so see these people use meth like it was sugar. I lost my brother to meth and this movie makes me sick to my stomach because it glamorizes the drug. The movie makes it look cool to use the drug but I was happy at the end when the guy almost made it across the state line. I also know that most women who experience a traumatic rape don't want to make love to their boyfriend or husband the next day. The movie is just wrong in all directions. I would suggest ""The Basketball Diaries"" if I was going to suggest a movie about drugs.",1
23,"Back in 1994, I had a really lengthy vacation around the Fourth of July - something like 17 days off in a row what with two weeks paid vacation, weekends and the holiday itself. I stayed in town during that time, hanging out at my parents' house a lot.  I didn't have a TV in my apartment so I used to watch my parents' tube. I had just finished watching a segment of the X Files when a program came on called Personal FX. I was hooked instantly. I had always been fascinated with items in our home that had come from my parents' family homes and through inheritances from relatives' estates, and often wondered about their history, value, etc.  After my long vacation, I used to go to my folks' house on my lunch-hours just to catch Personal FX.  I can remember one episode during which co-host Claire Carter announced that the New York apartment in which the series was filmed was being renovated and that once said renovations were complete that Personl FX would return to the air.  It never did! Personal FX was the first -and best - of the collectible shows. And it vanished from the air! Almost fifteen years later, I'm still sore.  Way to go, FX.",0
24,"Do not waste your time with this movie. This is a total thrash in terms of acting, directing, sound editing, soundtrack... There was such a waste of performance by some of the very good actors. The movie does not do justice to Paresh Rawal who is perhaps one of the most talented actors in Bollywood. Akshay Kumar who is also an emerging star did quite a poor job. John Abraham, what is wrong with him? Is that what you call acting? I mean he should thank God that he has a pretty face otherwise he'd be winning Razzie awards in India if there were any such awards in Bollywood. Asrani a great talent, but overdoes his bit as before.  Screenplay which was not to mention a rip-off from the 1965's Boeing Boeing was quite badly framed. First of all, people in Bollywood just can't make something original. On top of that they don't even know how to copy well. The jokes in the movie were so overdone, it was getting painful to sit through them. Priyadarshan may be a star in the south, but he's just not fit to make a decent Hindi movie. The sound editing is amazingly crappy. I can go on and on this matter, but the bottom-line is that Bollywood should be shameful of making such a film.  The worst part is that some people seemed to love this movie. What is wrong with you guys? This is the reason why Bollywood is where it is. Did you know that Bollywood makes more movies than Hollywood every year, however, most of the movies are unheard of abroad, because of movies like this one. I am an Indian and I am utterly shameful of Bollywood for producing this piece of thrash. Movies like Dil Chahta Hai and Lagaan were just terrific. They are world class films which are timeless... among the best of this decade. Garam Masala, however, is perhaps one of the worst of this century. Period.  I give it a 1 out of 10.",1
25,"no, this is not supposed to be a high budget brilliance, but it is brilliant in its own right. you have to look at it for what it is, a low budget masterpiece involving a zombie rapist wielding a 12 inch love rod that he keeps out flapping in stride. those who came to give this movie a low review were probably looking for the next cult classic or hidden ""gem"" as they say and just didn't quite get there. i love how everyone points out obvious observations such as the ""5 cent baby attached to a fish pole"" hahaha, well, yes. i don't think a movie with a budget like this could afford ""good"" actors or effects so they worked with what they had. the guts and entrails were actually very convincing. the movie was a little choppy going from sequence to sequence but overall, this is one of the better movies i have seen lately that doesn't follow any trend or predictability. very good for a laugh.",0
26,"Oh, dear lord.... They've turned what was a fairly thought provoking movie into a swaggering testosterone fest.  The original 1971 version of this movie was beautifully vague about our hero Kowalski. He was a man trying to drive from Denver to San Fransisco to win a bet. Why was he willing to risk his life for the price of a handful of uppers? We're not really sure.  We had a few flashbacks that gave us the picture that he was an adrenaline junkie, and presumably he had led his entire life trying to make it to the vanishing point. That point you see off in the distance where the left and right shoulders of the road come together, and the road itself vanishes. He lives only to be free, and means no ill on anyone. We saw several times when there were accidents he stopped to make sure the other driver was okay before moving on, even the cops that were chasing him.  When he saw the futility of his quest he took his life rather than be arrested and live a life of captivity. He died like he lived, running wide open.  In the remake Kowalski has a whole history (including a first name, even.) He's trying to get to the hospital where his wife is suffering from complications to her pregnancy. He is a devoted husband, and excited expectant father. He comes to the decision to take his life after hearing his wife died in delivery, but they even leave THAT in question when they suggest that he may have jumped out of the car before it ran into the bulldozers. They even gave the part of ""super soul,"" the blind DJ (brilliantly portrayed by Clevon Little in the original) to JASON PRIESTLY?!?!?!?!?!? Give me a break.",1
27,"I'm a Belgian and grew up in the sixties. Most of the US series were shown over here (original language with subtitles) and Batman was one of the first I was keen on. Unfortunately over here it caused a ""panic hysteria"" amongst the mothers because Batman was considered as too violent. Geez, compare the innocence of that series to the crap kids get to see nowadays. So because of my the over-protective mothers from the 60s I only got a chance to see maybe two or three episodes ! I got so frustrated I started to collect the comics and bubblegum cards (still got them !) to compensate. I even got the View Master slides... I had an urge to see the caped crusader. All kids need some kind of hero.  Years later I finally got the chance to see the re-runs as an adolescent and I enjoyed it tremendously. The tongue-in-cheek acting would have escaped me when I would've watched it as a kid, but I understood it at the age of 17. Yeah, I've watched them all now and the occasional kind soul on the internet posts episodes because they haven't released the series on DVD (to my knowledge)  This evening I enjoyed ""Return to the bat cave""... it was a delight to watch because it was full of trivia and inside-jokes. To see Adam and Burt was a delight and this TV movie is simply fantastic in every aspect. They play themselves as they played their parts in the series.  Congratulations to the people who produced this great nostalgic ""feast""... I'm gonna watch it again. My advice to all Batman fans is: SEE IT !!! Rent it !!! Lend it from a friend !!! Buy it !!! I'd never expect myself to rate this as 9/10... Very well done !",0
28,"I knew I was going to see a low budget movie, but I expected much more from an Alex Cox film. The acting by the two leading men was terrible, especially the white guy. The girl should have won an Oscar compared to those two. This movie was filled with what I guess would be inside jokes for film industry people and a few other jokes that I actually understood and made me laugh out loud, which is rare. Without these laugh-out-loud moments I would have given this film 2/10. What happened to the Alex Cox who made all the 80s classics?  SPOILER:  There were a couple of questions I had after the movie was over. Why did the Mexican guy go to the other guy's house at the beginning? What did his daughter say he got 100 people fired from his last job? Why was she breaking her own stuff when she was mad at him? I guess I should have gone to the Q&A after the movie, but I didn't want to get up at 10am.",1
29,"Thanks should be given to the Hong Kong VCD/DVD distributors that I only paid US$1.4 and I could have such a surprisingly delightful enjoyment.  Adultery? How common in our modern days. Eva grabbed her two children and kidnapped Nick to chase after Luis and Charlotte to Italy. She wants her revenge done but at the end, she also commits the same crime of Luis: she had sex with Nick.  In this small indie production, Vivian Naefe dealt with the teething problems in modern marriage with a light heart. How can one dare treat marriage seriously in this fast-food time where people are now of higher mobility in physical, mental and technology areas? Conjugal commitment asks for too high a price that most people would choose to succumb to circumstances. Nick once trusted Charlotte but he fell for Eva after that kidnap journey which forced him to experience much growth.  Most viewers may feel happy about the ending because Eva and Nick come together, well, this should be the greatest retribution to the unfaithful act of their spouses. However, I want a sequel, I want to see how the four would develop after this exchange. Perhaps they may exchange back, how can one be so sure about the shaky love relationship.  Good acting and good scenery. The two little child-actors should not be neglected especially the boy when he cries at the reception of the hotel in Venezia. And of course, how can we forget the ""bella, bella"" scenery of the city.",0
30,"Across the country and especially in the political landscape, people with any kind of political ambition, should take time out to see this film. The movie is called "" City Hall "" and with little imagination, its synopsis can take place anywhere in America. It just so happens to open in New York. Here we have the story of a popular politician named Mayor John Pappas (Al Pacino) with enough savvy to run a major metropolitan city with very little effort. His right-hand man is none other than Deputy Mayor Kevin Calhoun (John Cusack) an equally bright individual who's ambitions are tied to his mentor and both seemed destined for higher office. Everything points in that direction, until a police shooting ignites an investigation spearheaded by Marybeth Cogan (Bridget Fonda) who believes the guilt points towards city hall and the mayor. A six year old boy and a police officer's death are blamed on a career criminal who's questionable freedom leads to an apparent cover-up by political pay-offs and city corruption involving union leaders like Danny Aiello played by Frank Anselmo, corrupt judicial officials like Judge Walter Stern. (Martin Landau) and mafia bosses like Paul Zapatti (Anthony Franciosa) who are deeply involved. Also implicated, are party officials like Larry Schwartz (Richard Schiff) who works for the probation office of New York. But it is the bond between the mayor and his deputy which is taken to task by the accidental shooting. A great vehicle for Cusack and a sure bet nominee to become a classic. ****",0
