,0,1
90,This birth control literally made me insane and depressed . Throwing it away was the best thing I&#039;ve ever done !!!! Please be careful,1
91,I started taking and was fine for a few weeks. Then I started gaining weight slowly. Before I knew it I had gained 40 pounds in 6 months. ,1
92,Is not strong enough,2
93,"Definitely puts you to sleep. Lay down, then take it.",8
94,Not always effective.,5
95,Helpful.  ,8
96,Not bad.,6
97,While on Cymbalta I became suicidal. ,1
98,helped me get over the hump of depression after coming home from Afghanistan...,7
99,Works well for paranoia aspect of schizophrenia but caused diabetes.  Would recommend Latuda as a substitute (it does not cause weight gain or diabetes),5
100,"First time painful, still feel the rod in your arm for the first month but no more period. Negative part is gaining weight and breaking out a little.",6
101,Patient has had diarrhea at times since beginning this medicine nearly a year ago.,6
102,"Had an extremely painful foot condition, which turned out to be gout. The tramadol helped relieve the extreme pain.",6
103,"Decent drug for nausea, but did not cure my vertigo, only the nauseated feeling you get from vertigo.",2
104,"Side pains weak legs, muscle stiffness and poking pains in stomach.",2
105,This medicine worked great for the first 3 or 4 years but now I am not feeling as well and am taking 300 mg per day.,7
106,After 2 days of taking this I got blurred vision.,3
107,"Like Bengay, Icy Hot, or Tiger Balm. Works a little better and lasts longer.",6
108,I was switched from amitriptyline to nortriptyline and noticed an immediate improvement the following morning. I&#039;m sold.,8
109,"Stuffy nose. Slight headache.  Could not ejaculate. Other than that, good.",7
110,It&#039;s not working. I still stay up or get up 5 to 6 time a night.,4
111,Paranoia significantly alleviated and mind activity controllable with medication,7
112,"I just started taking these today, hopefully I will have the same luck as some of you!",4
113,"I was prescribed Avelox for 7 days for bronchitis, so far so good, the only side effect was a little dizziness and nausea.",8
114,Towards the end of the medication I was fine.,8
115,Not effective for me I think it&#039;s a placebo I experience severe headaches was really not effective for them,2
116,Just started 2nd week... no side effects... not losing weight yet... stay tuned,8
117,I think I might be allergic to this medicine as I had the hives in the evening from my scalp down. ,4
118,"I had shaky legs so bad and could not sleep.  My primary care doctor prescribed Requip, but I had awful side effects on Requip.",4
119,Since I start using this product I experienced change of vision and headaches.,3
120,I found Xanax to be the only thing to help me.,7
121,Works okay when nothing else is immediately available. Excedrin Migraine was no longer effective and I needed SOMETHING while at work and it helped.,5
122,I was prescribed this medication for my chronic insomnia. I took 8mg at bedtime without success. Never worked to allow me to go to sleep.,6
123,"The explosive body movements while she sleeps is very scary. Nothing of the sort with Tamoxifen, had it only worked.   ",2
124,"Worked well, but had to stop due to conscription, blurred vision, and energy.",4
125,Benadryl made my 16yr old so sleepy that he had to be sent home from school but it did take away his hives.,5
126,Have only used Lasix a few days and have already noticed a big difference.,7
127,"Leveled out my moods, but very constipating and I still have no energy.",6
128,I have trouble keeping it sealed all sides I have to use tape lost 3 patches,7
129,I experienced light headiness to the point of nausea for a few minutes after dosage. Symptoms dissappear quickly.,8
130,Quick results with this drug.,8
131,Adalat 60mg helps my high blood pressure but I have to go to the bathroom a lot.,7
132,"It doesn&#039;t eliminate all of the anxiety, but it takes the big edge off, enough for you to calm down on your own.",8
133,I felt 1000 mg of Excedrin in morning helped with the pain all day long.,8
134,Decreased urine output and extreme difficulty urinating.,5
135,I have taken Depakote ER for awhile with Lamictal. I have not had a seizure in 34 months. I do have hair loss and weight gain problem.,8
136,"I stayed on this drug for 5-6 months, but it only helped a little bit.  Was also hard to adjust to, making me very sleepy during the first month.",3
137,Took care of L5 S1 back pain. But the nausea is awful.,8
138,"This medicine does help to a degree, but I do experience break through pain and discomfort. Especially in cold and damp weather, in injury sites from a car accident.",4
139,"Insomnia, fatigue, confusion",5
140,"Expensive if you buy the extended release, ($160 for 50mg twice daily a month). Not to mention very sedating, and weight gain.",2
141,"I don&#039;t know if I should sit on the toilet and make this stuff come out it is so uncomfortable.   Itchy,  burning, ouch!",3
142,My side is hurting and painful if I hold my urine or have to hold it for a while . A bowel movement is also painful.,7
143,Father was almost himself again with aricept but it gave him uncontrollable diarrhea so he won&#039;t take it.,5
144,"Took it for 3 months 2.5 mg and did not help the anxiety, it made it worse. I am tapering down.",3
145,Burned areas on the tongue with discoloration and blisters,3
146,I actually felt more of an appetite. It didn&#039;t work for me.,5
147,I have been taking this for 3 months and still have leaking. I feel like I have to really go then only dribble. ,2
148,"Terrible heartburn and intergestion. Easy to take, but went back to sustiva and combivir because of heartburn.",7
149,It works for headaches,5
150,No side effects has worked well for me,7
151,"Controlled neural activity for a while but ended up being hallucinogenic, thus it could no longer be used.",3
152,constant urination. weakness.  dizzy. tired.  unable to take daily walks as i did before.,3
153,"Took Farxiga for 1 to 3 mos, instantly began having recurrent yeast infections.  Even after stopping the medication the infections continue to come frequently.",5
154,It wasn&#039;t helpful at all very useful.,3
155,Reasonably better,6
156,Has anyone gained weight on this,7
157,Had bad dreams headache when I woke up feeling like I didn&#039;t sleep feeling tired when I woke up,2
158,Cough and rash side effects annoying.,4
159,Just went back on it after finding another doctor for my ssi,4
160,This medication coupled with a benzodiazepine is wonderful. It makes your body feel better and is non addicting.,7
161,Helps with pain when used with some other pain medications. Sort of boosts effects of vicodin or even helps by itself.,7
162,Although the progress of the disease continued Indocin allowed me to live a relatively normal life for 30 years.,6
163,Terrible. Nothing but bleeding since day one and I&#039;ve had it for 7 months. I fed up with it and getting it removed.,2
164,Took the two tablets and felt really sick with in a hour and half was violently dry sick and shaking,6
165,"Excellent for long lasting relief on minimal dosage.  Rarely causes weakness/sleepiness, but does not give the user euphoria.",6
166,Take it for nerve damage. It&#039;s really good.,5
167,Vesicare was working but the side effect (dry mouth) was severe. I have to stop taking it.,3
168,I had some success with Savella but have not felt totally better after long term.,5
169,"Just not strong enough, Klonopin or Xanax or really any other benzodiazepines, works better.",5
170,Sun-caraco oxy&#039;s do not work!,3
171,"Too soon for me to tell if this is working, but for you concerned about cost it is now generic and costs me $10 a month.",6
172,It works but never again. It feels like stabbing in the stomach region. Still doing a number 2. Feels like I would be here for a while :(,2
173,It&#039;s ok but I started to develop a yeast infection after two weeks,5
174,"Worked for a half year, then I got paranoid, depression and ADHD started to show, and had really bad headaches.",3
175,Worked well in combination with xanax for 3 months then lost effectiveness,4
176,Makes me feel ill.,3
177,It is good for moderate breakthrough pain when used with a fentanyl patch.,7
178,"I have developed irritation of the throat and ears, headache, feel dizzy during my morning walk, chest pain and difficulty with my breathing.",2
179,I&#039;m on 150 and it doesn&#039;t do anything,3
180,Helped bring down high blood pressure in a short time on maintenance dose of 1.25mg but caused unbelievable itch,5
181,My Doctor tried me on 3mg first. Didn&#039;t do much at all. 6MG seems to be working much better.,7
182,"Dry mouth, sore throat continually and no benefit on lower dose hence continuously low immunity.",4
183,I have had my iud for 4 years now and have recently been experiencing sever heavy bleeding for the last 3-4 months. Other than that it has worked,5
184,Patch don&#039;t stay on,2
185,"For $2000.00 for a one month supply,  this  is rubbish",2
186,"This drug made me stupid and depressed. Side effects included oral-facial dyskinesis, visual impairment, and weight gain.",2
187,I have used this Rogaine for about 8 weeks and I had to stop because it caused facial hair.,2
188,"This medication has caused such horrendous side effects, exactly like having the flu including the fever of 101&deg;f. The benefits are non existent",2
189,I have occasional stomach upset but its nice not to hurt. I take it three times a day and at night. I take it with Flexeril.,6
190,I use ultram 50mg and it has helped with my nerve pain due to my neck and back,6
191,Just started taking this for a cough and all I&#039;ve done when taking this is vomit and have the worst case of nausea ever.,6
192,Side effect for me is headaches.,4
193,"Cymbalta works great, but withdrawals are ridiculous. ",5
194,"Costly, no breaks, once yearly free 30. Cost $250 monthly",4
195,Feet ankles and legs still badly swollen each day.,4
196,I think it causes my legs to ache at night,4
197,effectiveness lasted 8 months side effects unpleasant,4
198,Made me very drowsy and gave a heavy head feeling - lasted 12 hrs,4
199,Prescribed for high blood pressure. It did drop my blood pressure but the side effect of dry coughing has stopped me from taking this medicine.,4
